Samsung Component lib - Ver. 5.0

DC Bias Characteristics
DC bias value = 0.0Vdc
Temperature = 25.0degC

[CL21A226MO7FUN]
DC voltage(Vdc),Capacitance(uF),¥ÄC(%)
0.0,20.89493333333333,0.0
0.1,20.75835358333333,-0.6536500874215122
0.2,20.63622533333333,-1.2381374751135843
0.30000000000000004,20.52235508333333,-1.7831033201031192
0.4,20.41054933333333,-2.3181887794170204
0.5,20.29461458333333,-2.8730350100821895
0.6,20.168357333333333,-3.4772831691255304
0.7,20.02558408333333,-4.160574413573944
0.7999999999999999,19.860101333333333,-4.952549900454337
0.8999999999999999,19.66571558333333,-5.882850786793609
1.0,19.43623333333333,-6.981118229618664
1.1,19.166606233333333,-8.271512870743786
1.2,18.86045253333333,-9.736718311297158
1.3,18.524578633333327,-11.344160147276533
1.4,18.16579093333333,-13.061263974679667
1.5,17.79089583333333,-14.855455389504314
1.6,17.40669973333333,-16.694159987748225
1.7,17.02000903333333,-18.544803365409155
1.7999999999999998,16.637630133333328,-20.37481111848486
1.9,16.266369433333328,-22.151608842973094
2.0,15.91303333333333,-23.84262213487161
2.1,15.56953085833333,-25.486573180420134
2.2,15.22430853333333,-27.13875516871714
2.3,14.87897900833333,-28.7914502000485
2.4,14.53515493333333,-30.436940374700093
2.5,14.19444895833333,-32.06750779295779
2.6,13.85847373333333,-33.675434555107465
2.7,13.528841908333332,-35.25300276143499
2.8,13.207166133333333,-36.792494512226256
2.9,12.895059058333333,-38.28619190776712
3.0,12.59413333333333,-39.72637704834347
3.1,12.30331325333333,-41.11819809587015
3.2,12.020328826666663,-42.47251888815153
3.3,11.74500127333333,-43.79019503930779
3.4,11.477151813333329,-45.0720821634591
3.5,11.216601666666662,-46.31903587472562
3.6,10.963172053333329,-47.53191178722753
3.7,10.716684193333329,-48.711565515085
3.8,10.476959306666663,-49.858852672418195
3.9,10.243818613333328,-50.974628873347285
4.0,10.01708333333333,-52.05974973199245
4.098649999999999,9.799207919999997,-53.10246860482925
4.1952,9.591741359999999,-54.095372275256516
4.2905500000000005,9.393146673333332,-55.04581649777936
4.3856,9.20188688,-55.961157026902846
4.48125,9.016424999999996,-56.84874961713206
4.578399999999999,8.835224053333333,-57.715950022972066
4.67795,8.656747059999997,-58.57011399892796
4.780799999999999,8.479457039999998,-59.41859729950481
4.88785,8.30181701333333,-60.26875567920771
5.0,8.122290000000001,-61.12794489254173
5.11605,7.942120550567629,-61.990208708167074
5.2344,7.763593987203415,-62.84460991881566
5.3553500000000005,7.586734487306722,-63.69103281510005
5.4792,7.411566228276909,-64.52936168763284
5.606249999999999,7.238113387513335,-65.35948082702664
5.7368,7.066400142415362,-66.181274523894
5.871149999999999,6.896450670382349,-66.99462706884755
6.009600000000001,6.728289148813656,-67.79942275249986
6.15245,6.561939755108644,-68.59554586546354
6.3,6.397426666666667,-69.38288069835112
6.452450000000001,6.233325648952053,-70.16824342287738
6.6095999999999995,6.068820387697491,-70.95554079602636
6.77115,5.904846940704902,-71.74029298631454
6.936800000000001,5.742341365776206,-72.51802016225845
7.106249999999999,5.582239720713323,-73.28424249237459
7.279199999999999,5.425478063318174,-74.0344801451795
7.455349999999999,5.27299245139268,-74.76425328918967
7.634399999999999,5.125718942738757,-75.46908209292161
7.816049999999999,4.984593595158329,-76.14448672489185
8.0,4.850552466453316,-76.78598735361692
8.187850000000001,4.72367010015833,-77.3932272249812
8.380799999999999,4.603017182738758,-77.97065389342191
8.57795,4.48802398639268,-78.52099399028467
8.7784,4.378120783318175,-79.04697414691518
8.98125,4.2727378457133245,-79.55132099465905
9.185599999999999,4.171305445776206,-80.03676116486196
9.39055,4.073253855704903,-80.50602128886955
9.5952,3.9780133476974906,-80.96182799802747
9.798649999999999,3.8850141939520526,-81.4069079236814
10.0,3.793686666666667,-81.84398769717698
10.190999999999999,3.7066466515226506,-82.26054808411617
10.368,3.6259382471745782,-82.646806336586
10.536999999999999,3.550134045280417,-83.00959381565985
10.704,3.4778066374981336,-83.35574188241105
10.875,3.4075286154856936,-83.69208189791291
11.056,3.337872570901066,-84.0254452232388
11.253,3.267411095402216,-84.36266321946206
11.472,3.19471678064711,-84.71056724765599
11.719,3.1183622182937167,-85.07598866889396
12.2965,2.950141308475627,-85.8810685757522
12.592,2.859368187210298,-86.31549504563961
12.8955,2.7655595190320312,-86.76444918529516
13.216,2.6696741867688476,-87.22334192610244
13.5625,2.5726710732487654,-87.687584199445
13.944,2.4755090612998067,-88.15258693670648
14.3695,2.3791470337499887,-88.61376106927042
14.847999999999999,2.284543873427333,-89.06651752852048
15.3885,2.1926584631598574,-89.50626724584018
16.0,2.104449685775584,-89.92842115261314
12.0,3.03692,-85.46575884424932

